CNPJ_CIA;TICKER;RAZAO_CVM
02.846.056/0001-97;MOTV3;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.
08.534.605/0001-74;RNEW3;RENOVA ENERGIA S.A.
08.534.605/0001-74;RNEW4;RENOVA ENERGIA S.A.
16.676.520/0001-59;MATD3;HOSPITAL MATER DEI S.A.
28.594.234/0001-23;AURE3;AUREN ENERGIA S.A.
31.553.627/0001-01;TOKY3;GRUPO TOKY S.A.
40.337.136/0001-06;LAND3;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.
00.242.184/0001-04;ARML3;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.
06.626.253/0001-51;PGMN3;EMPREENDIMENTOS PAGUE MENOS S.A.
10.807.374/0001-77;SOJA3;BOA SAFRA SEMENTES S.A.
14.127.813/0001-51;ARND3;ARANDU INVESTIMENTOS S.A.
94.813.102/0001-70;TTEN3;TRÊS TENTOS AGROINDUSTRIAL S/A
01.896.779/0001-38;CSUD3;CSU DIGITAL S.A.
35.654.688/0001-08;AMOB3;AUTOMOB PARTICIPAÇÕES S.A.
53.153.938/0001-08;AUAU3;UNIÃO PET PARTICIPAÇÕES S.A.
23.994.857/0001-70;ATED3;ATOM EDUCAÇÃO E EDITORA S.A.
52.017.473/0001-03;AZTE3;AZEVEDO & TRAVASSOS ENERGIA S.A.
01.417.222/0001-77;MRSA3B;MRS LOGISTICA S.A.
01.417.222/0001-77;MRSA5B;MRS LOGISTICA S.A.
01.417.222/0001-77;MRSA6B;MRS LOGISTICA S.A.
52.841.191/0001-18;RVEE3;REVEE S.A.
59.693.110/0001-29;OBTC3;ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO
02.800.026/0001-40;COGN3;COGNA EDUCAÇÃO S.A.
08.807.432/0001-10;YDUQ3;YDUQS PARTICIPACOES S.A.
33.228.024/0001-51;WLMM4;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.
14.776.142/0001-50;WEST3;WESTWING COMERCIO VAREJISTA S.A.
84.429.695/0001-11;WEGE3;WEG S.A.
20.512.706/0001-40;VTRU3;VITRU BRASIL EMPREEND. PARTICIP. E COMERCIO S.A.
33.113.309/0001-47;VLID3;VALID SOLUÇÕES S.A.
60.894.730/0001-05;USIM6;USINAS SID DE MINAS GERAIS S.A.
60.894.730/0001-05;USIM5;USINAS SID DE MINAS GERAIS S.A.
60.894.730/0001-05;USIM3;USINAS SID DE MINAS GERAIS S.A.
33.958.695/0001-78;UNIP6;UNIPAR CARBOCLORO S.A.
33.958.695/0001-78;UNIP5;UNIPAR CARBOCLORO S.A.
33.958.695/0001-78;UNIP3;UNIPAR CARBOCLORO S.A.
33.256.439/0001-39;UGPA3;ULTRAPAR PARTICIPACOES S.A.
03.014.553/0001-91;TPIS3;TPI - TRIUNFO PARTICIP. E INVEST. S.A.
